molecule_name,max_vertex_degree,min_vertex_degree,mean_vertex_degree,std_dev_vertex_degree,max_weight,min_weight,mean_weight,std_dev_weight,max_edge_order,min_edge_order,mean_edge_order,std_dev_edge_order,one_norm,number_of_terms,log_fci_dim,n_elec,n_orbs,df_gap,SHCI,CCSDT,error,solved,matching_key,molecule_name_2,duplicate_molecule_name,task_uuid,num_electrons,num_orbitals
c_o2_cc-pVDZ,73986,8374,57879.42857142857,17752.062202329456,5.609926293256772,1.0008846924842174e-08,0.005438564,0.079487578,41,1,18.33520134557221,8.415985772832249,725.1099506215384,132584,19.263001456956992,22,42,7.349626109888032,-188.1495382,-188.147414,0.002124196,False,c_o2_cc-pVDZ2242,c_o2_cc-pVDZ,False,615c9d78-2b84-4c7b-ab6b-ba05b188f50a,22,42
Mn1_vdz,109110,12932,88326.29629629629,27455.350372201712,11.783375970188056,1.2592315800505072e-08,0.007870615,0.1377499113896543,53,1,22.472449032476923,11.114749675554853,1787.6651034346244,212244,15.878987548857342,14,54,26.85306383039846,-103.67336,-103.6731336,0.000226368,True,Mn1_vdz1454,Mn1_vdz,False,9d82f7d4-165d-4499-8add-361a770d1d44,14,54
si_h4_cc-pVDZ,209676,29512,165270.05263157896,51899.09452711167,34.98563330530755,1.0024083041559904e-08,0.001563547,0.065074763,38,1,17.123114968195413,7.308009481447897,621.2676998873953,366772,16.424437233437114,18,38,9.257493912336477,-291.3931832,-291.392525,0.000658233,True,si_h4_cc-pVDZ1838,si_h4_cc-pVDZ,False,2eaee11d-c1a0-4d2b-b29b-a38e658572f2,18,38
c2_h4_cc-pVDZ,273724,35286,208684.4583333333,66109.76262151652,5.1466546818796814,1.000871206524554e-08,0.002251118,0.050222608,48,1,21.35698690887382,9.427916236727784,1120.8249282948598,469021,17.153486393028327,16,48,9.640037481,-78.35588037,-78.354582,0.001298369,True,c2_h4_cc-pVDZ1648,c2_h4_cc-pVDZ,False,26423f2e-e3e1-4bbb-b2ff-52bdae87d65b,16,48
p2_cc-pVDZ,43828,6310,34866.72222222222,10875.620259734642,42.18060677281528,1.001482061575149e-08,0.005945855,0.2207471521587851,35,1,16.083672894082675,7.042745317186172,672.5559194050202,78043,19.49138325276514,30,36,8.971076533326144,-681.7262958,-681.723991,0.002304822,False,p2_cc-pVDZ3036,p2_cc-pVDZ,False,084acde0-d1c7-4721-aa45-acb4832e0998,30,36
li_h_cc-pVDZ,3719,1169,2932.894736842105,683.9108817549444,3.0865440096894416,8.340959212488228e-08,0.018617112,0.1223290290183842,19,1,9.232107356,3.892011018372903,129.6680696897711,6037,4.465992220784307,4,19,3.653541532914448,-8.014358466,-8.014358,4.661184167531474e-07,True,li_h_cc-pVDZ419,li_h_cc-pVDZ,False,92917287-d937-410c-bb70-c1f34224fab7,4,19
be_cc-pVDZ,478,184,390.7142857142857,90.93359317296849,1.9308913377179096,0.000185662,0.066830744,0.2240489071114517,13,1,6.071032186459489,2.862644311280061,68.61797210762583,902,3.9180827846421873,4,14,4.504143640802564,-14.61684259,-14.616843,4.06884515413708e-07,True,be_cc-pVDZ414,be_cc-pVDZ,False,3fb92ecd-bcbc-43dd-9f29-aa56ea646b75,4,14
h_f_cc-pVDZ,3917,773,2900.4736842105262,824.4007308930245,9.260837417,1.0825605807122354e-07,0.036633431,0.2356527417701711,18,1,9.130053015241884,3.871762064179068,222.7439737918945,6037,8.131010046,10,19,12.077323293877438,-100.2286402,-100.228146,0.000494185,True,h_f_cc-pVDZ1019,h_f_cc-pVDZ,False,b59bd259-4941-4cec-bca5-e2795c35d8e0,10,19
n2_cc-pVDZ,17558,3422,14424.714285714286,4176.260467187831,4.072318196781682,1.11949472844041e-08,0.012667652,0.1155641032757075,28,1,12.94857655809182,5.484705344506187,397.8561462672448,31193,12.146732748499884,14,28,8.205437108611248,-109.2769662,-109.27524,0.001726244,False,n2_cc-pVDZ1428,n2_cc-pVDZ,False,b9c35349-927d-47d5-8e0c-e054bbf4e4e0,14,28
V1_vdz,109062,12916,88289.22222222222,27449.46674086812,11.11631747701769,1.025656675606915e-08,0.007649318,0.1404443868787556,53,1,22.473181331812377,11.116228001918223,1753.824411677223,212148,14.51725971283975,12,54,26.81226664958398,-70.8284,-70.8278362,0.000563803,True,V1_vdz1254,V1_vdz,False,6d0f8edd-507f-43d5-9960-9ad49532ee42,12,54
si2_h6_cc-pVDZ,930032,51790,698850.0303030303,254140.61889517648,34.59946741201319,1.0000311705172212e-08,0.000687357,0.043069845,66,1,27.753653474825065,13.03925158747146,1262.0698758600126,1661912,30.80140161245557,34,66,6.130110837248894,-581.6123803,-581.610749,0.001631308,False,si2_h6_cc-pVDZ3466,si2_h6_cc-pVDZ,False,109f95c5-8561-458c-8f41-72be596b87e6,34,66
c_h4_cc-pVDZ,153194,29108,124095.9411764706,36520.773687073255,4.754609864,1.0165647131116313e-08,0.002832794,0.050892606,34,1,15.635756558346026,6.621816726773695,816.4125271259593,269848,10.88888907549272,10,34,10.778172271294403,-40.3873742,-40.38682,0.000554195,True,c_h4_cc-pVDZ1034,c_h4_cc-pVDZ,False,443371ce-c80d-450d-b281-ac1c4d5ecc4d,10,34
na2_cc-pVDZ,47186,7084,37981.16666666666,11705.583457621124,21.57258162053662,1.0035559624464694e-08,0.003247682,0.1082049605789234,35,1,16.140830106714514,7.020108168608732,362.1785858166669,84713,17.557467504495015,22,36,4.807618857201092,-323.7308349,-323.730835,7.094831744325347e-08,True,na2_cc-pVDZ2236,na2_cc-pVDZ,False,4fb7e994-8e7a-4acd-86d4-bb52db824cfc,22,36
Cu1_vdz,109114,12932,88328.62962962964,27456.449900872514,13.89380293744269,1.3540101362908776e-08,0.009738056,0.1576989492851902,53,1,22.472619165406343,11.114733743416243,2161.615765285452,212248,19.451486255274222,18,54,34.829374450705274,-196.96723,-196.9661354,0.0010946,True,Cu1_vdz1854,Cu1_vdz,False,5f5fee92-5821-4d38-a54a-d204660f205f,18,54
Cr0_vdz,109094,12930,88312.51851851853,27450.576711705213,11.25832502192168,1.0433859422712685e-08,0.007147816,0.1320398850528719,53,1,22.471061100823192,11.113758691106812,1636.1143094511613,212224,15.878987548857342,14,54,25.488225752616525,-86.61203,-86.6113265,0.000703502,True,Cr0_vdz1454,Cr0_vdz,True,5d85532e-9116-48a1-9810-7925c9ed9c57,14,54
h3_c_s_h_cc-pVDZ,463916,49900,340013.4615384616,112602.90734675027,47.16778754575353,1.0000794779728452e-08,0.001289308,0.061782466,52,1,22.154655426046727,10.178514331162454,1102.6564395370074,798059,23.605565997974765,26,52,8.034611482386405,-438.055677,-438.054421,0.001256021,True,h3_c_s_h_cc-pVDZ2652,h3_c_s_h_cc-pVDZ,False,ff159145-fd97-486b-bf16-fc766b362ea3,26,52
p_h3_cc-pVDZ,117099,17793,91283.12121212122,29464.98862878448,41.21231529631812,1.0002823208912817e-08,0.002271397,0.09863169,33,1,14.948925358172588,6.099141844207082,532.0212402,201510,15.172433967835904,18,33,10.750424983710111,-342.6380539,-342.637272,0.000781851,True,p_h3_cc-pVDZ1833,p_h3_cc-pVDZ,False,af399f2b-a4f8-4fec-aca2-7c126ed989a5,18,33
Ti0_vdz,109064,12924,88297.48148148147,27446.77771328084,10.431710603591108,1.0020082987635876e-08,0.006652181,0.1244809006480188,53,1,22.47274132657149,11.114977845699524,1537.4887205977984,212172,14.748251841895977,12,54,22.393749029528152,-57.88305,-57.88171776,0.001332239,True,Ti0_vdz1254,Ti0_vdz,True,ab61c91a-68ea-401f-a3ad-392e83ee802e,12,54
h_cl_cc-pVDZ,8107,1361,6058.478260869565,1748.7166193368214,55.505675605896734,1.0559723923723472e-08,0.022815115,0.5105613694712445,22,1,10.87273720349563,4.716109090623154,420.6721595,12817,11.82464608701384,18,23,13.691492877989322,-460.2549893,-460.254488,0.000501289,True,h_cl_cc-pVDZ1823,h_cl_cc-pVDZ,False,fa3bc2a8-8067-4088-909a-2ddfa655ebfb,18,23
h2_c_o_cc-pVDZ,108070,14458,79807.94736842105,24262.278222037305,5.4498944288218985,1.0002503098674932e-08,0.003778971,0.065368247,38,1,17.240763375269324,7.496263176868831,689.2208134,175904,15.37867974287644,16,38,8.696195278075546,-114.2196777,-114.218245,0.001432653,True,h2_c_o_cc-pVDZ1638,h2_c_o_cc-pVDZ,False,d58cb72b-e144-4164-aec0-309aaef6394c,16,38
O0_vdz,3164,894,2515.181818181818,657.9736549273932,6.0128965715673806,8.371578077452386e-05,0.075730496,0.354919796,21,1,9.380233937955586,4.548026575636364,491.4198558,5900,6.227826310353474,6,22,17.686288226645676,-15.78125,-15.78094099,0.000309009,True,O0_vdz622,O0_vdz,False,402d5237-16a3-4eb8-8bd4-5dcf2cb14c36,6,22
c2_h2_cc-pVDZ,56038,9632,45093.57894736842,13570.74966053941,4.476744000181305,1.0102531620965769e-08,0.00641333,0.083181614,38,1,16.830424405527783,7.429732168277686,690.0630928461151,101814,14.202136329191784,14,38,8.851342200620753,-77.11057385,-77.109143,0.001430845,True,c2_h2_cc-pVDZ1438,c2_h2_cc-pVDZ,False,2761e36e-f001-42af-8086-f507b5643ec8,14,38
c_h3_cl_cc-pVDZ,314889,30495,228488.36170212767,74541.37866967282,54.60135035651876,1.0000898670617073e-08,0.001695591,0.082902824,47,1,19.89107556,8.884708309362013,1020.1587195241516,539889,22.296445260684788,26,47,8.801595765174795,-499.4405866,-499.43952,0.001066555,True,c_h3_cl_cc-pVDZ2647,c_h3_cl_cc-pVDZ,False,0667179a-19eb-44b9-a544-dae8793fdc3f,26,47
si_o_cc-pVDZ,29620,4934,23757.0625,7213.9323011859315,35.94624349774877,1.0057456845068264e-08,0.007565321,0.1742154317379072,31,1,14.543656259565353,6.243056100364025,487.4964641119618,52273,16.221344234866493,22,32,7.390839870485125,-364.0821787,-364.080222,0.001956743,False,si_o_cc-pVDZ2232,si_o_cc-pVDZ,False,88a6b9fd-e159-4059-9ee5-ba718fd624dc,22,32
Fe1_vdz,109118,12924,88315.88888888889,27456.68181893385,12.349261327826737,1.3440083312007104e-08,0.008162364,0.1424714758961645,53,1,22.474460294346343,11.115443165714362,1845.3191265370715,212200,16.878987548857342,15,54,28.689355860768632,-123.23354,-123.233182,0.000358044,True,Fe1_vdz1554,Fe1_vdz,False,a7e26b10-bd6b-457c-978e-9050f6529007,15,54
Sc0_vdz,109040,12910,88278.51851851853,27442.58257522067,9.947953554690836,1.0273816574821889e-08,0.006328924,0.1194675773452303,53,1,22.47172790911448,11.11418104639423,1468.8819117829955,212136,13.912108644534644,11,54,20.86920189743936,-46.39685,-46.39553809,0.001311908,True,Sc0_vdz1154,Sc0_vdz,True,fb87d637-aaab-4e8f-8898-4ecca8bd0fe0,11,54
na_cl_cc-pVDZ,46962,7014,37513.05555555556,11627.896097900955,55.53944738041428,1.0022707311256197e-08,0.004836942,0.21427552,35,1,16.18802742616034,7.038962714049088,589.5520239396914,83425,19.15872040923209,28,36,10.908561146963542,-621.5890747,-621.588578,0.00049673,True,na_cl_cc-pVDZ2836,na_cl_cc-pVDZ,False,da831b60-89ce-4c01-96f9-c9f8a4512aab,28,36
cl2_cc-pVDZ,33112,4400,26080.222222222223,8176.361168063534,55.87454574138278,1.0078260153892441e-08,0.00871769,0.3337406119351779,35,1,15.467677100494232,6.939626183940775,816.3474856443979,60701,19.868744025492543,34,36,11.350396555877197,-919.264015,-919.262855,0.001160027,True,cl2_cc-pVDZ3436,cl2_cc-pVDZ,False,c01649e2-8c5c-4827-a037-1ede2159e558,34,36
