,solver_short_name,solver_uuid,solution_uuid,problem_instance_short_name,problem_instance_uuid,task_uuid,instance_data_object_uuid,instance_data_object_url,num_orbitals,time_limit_seconds,accuracy_tol,reference_energy,calendar_due_date,attempted,solved_within_run_time,solved_within_accuracy_requirement,overall_run_time_seconds,is_resource_estimate,num_logical_qubits,num_shots,num_T_gates_per_shot,re_circuit_repetitions_per_calculation,re_calculation_repetitions,re_total_circuit_repetitions,re_logical_abstract_num_qubits,re_logical_abstract_t_count,re_logical_architecture_description,re_logical_compiled_num_qubits,re_logical_compiled_t_count,re_logical_compiled_num_t_factories,re_physical_architecture_description,re_physical_code_name,re_physical_code_distance,re_physical_runtime,re_physical_num_qubits,re_physical_t_count,re_physical_num_t_factories,submitted_by_calendar_due_date,label,reported_energy
536,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,406b08d9-70f3-4639-a722-bbe2e9ca843d,planted_solution_0011,766ba2da-e72a-4e03-a739-f97269026fc4,0021e256-8e13-42db-839d-e9155e8af82c,befcf6f0-cfcb-49b7-b661-de48ad8a44c8,sftp://sftp.l3harris.com/gsee/planted_solutions/fcidump.planted_solution_0011.befcf6f0-cfcb-49b7-b661-de48ad8a44c8.gz,31,86400,0.00159362,-588.2719562417219,,True,True,True,0.09590625762939453,False,,,,,,,,,,,,,,,,,,,,True,True,-588.2717490597685
545,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,9be2b563-1afc-4655-8d5d-22028c2121f0,Mn_0,bc202949-d76c-4962-b937-5c12b298b8b4,289f5dfe-e6d5-48a3-a6ae-25088321d3c6,a83413fb-96e3-466e-910b-6d4bab7cdf1d,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Mn0_vdz.a83413fb-96e3-466e-910b-6d4bab7cdf1d.gz,54,86400,0.00159362,-103.94226,,True,True,False,0.4091606140136719,False,,,,,,,,,,,,,,,,,,,,True,False,-103.84146200639262
554,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,9be2b563-1afc-4655-8d5d-22028c2121f0,Mn_0,bc202949-d76c-4962-b937-5c12b298b8b4,24f12fad-130e-44fc-8b07-bc26c5a3d878,07c9da30-e172-4183-a8af-301628b75f1c,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Mn0_vtz.07c9da30-e172-4183-a8af-301628b75f1c.gz,88,86400,0.00159362,-104.06366,,True,True,False,1.0570969581604004,False,,,,,,,,,,,,,,,,,,,,True,False,-103.97029219209503
563,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,aa2ca0a2-3d4c-44c6-af76-0c62406fece4,planted_solution_0008,b57eb979-5c09-4974-97b4-5862e109a1ae,af56de36-35aa-44b9-8eb7-b9c1e8f7d0f3,44060124-8f2d-4a91-80a9-5a29f0f4f716,sftp://sftp.l3harris.com/gsee/planted_solutions/fcidump.planted_solution_0008.44060124-8f2d-4a91-80a9-5a29f0f4f716.gz,14,86400,0.00159362,-117.1341466614673,,True,True,False,0.09570980072021484,False,,,,,,,,,,,,,,,,,,,,True,False,-117.00012874551447
572,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,c315f70f-972e-4318-be36-674626321fee,mo_n2,664ec8e4-09d5-41cc-6266-ddb26219366f,00ba4917-d66a-4335-819f-43390dfc9929,23aa47ca-9afe-4086-bd97-75de310e033e,sftp://sftp.l3harris.com/gsee/fcidump.9_mo_n2-_noncan_0.2_new.23aa47ca-9afe-4086-bd97-75de310e033e.gz,31,172800,0.00159362,-4800.64948758995,2124-03-20T20:48:21.795324+00:00,True,True,False,0.13552570343017578,False,,,,,,,,,,,,,,,,,,,,True,False,-4800.637432146424
581,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,c315f70f-972e-4318-be36-674626321fee,mo_n2,664ec8e4-09d5-41cc-6266-ddb26219366f,b9cc699a-80f8-4280-9731-23dee4d5a6a5,e10bd99a-435c-41cd-84f1-41bd67890fc7,sftp://sftp.l3harris.com/gsee/fcidump.10_fecp2+_s0.5_noncan_0.2_new.e10bd99a-435c-41cd-84f1-41bd67890fc7.gz,46,172800,0.00159362,,2124-03-20T20:48:21.795324+00:00,True,True,False,1.009169101715088,False,,,,,,,,,,,,,,,,,,,,True,False,-1647.093040228927
590,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,c315f70f-972e-4318-be36-674626321fee,mo_n2,664ec8e4-09d5-41cc-6266-ddb26219366f,dfd78a05-437d-4667-88d7-7e2a3384b816,b71baf3c-d5f0-4f8d-aead-648ba69a058e,sftp://sftp.l3harris.com/gsee/fcidump.11_fecp2_s0_noncan_0.2_new.b71baf3c-d5f0-4f8d-aead-648ba69a058e.gz,46,172800,0.00159362,-1647.3491358097,2124-03-20T20:48:21.795324+00:00,True,True,False,0.3500344753265381,False,,,,,,,,,,,,,,,,,,,,True,False,-1647.2513916156092
599,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,c315f70f-972e-4318-be36-674626321fee,mo_n2,664ec8e4-09d5-41cc-6266-ddb26219366f,35c1aee4-4ef3-4e18-bc2a-377cf45e8fa1,77c12db8-c32e-4f88-8552-9762a0fff763,sftp://sftp.l3harris.com/gsee/fcidump.12_mo_n2_noncan_0.2_new.77c12db8-c32e-4f88-8552-9762a0fff763.gz,30,172800,0.00159362,-4800.62572354644,2124-03-20T20:48:21.795324+00:00,True,True,False,0.09369730949401855,False,,,,,,,,,,,,,,,,,,,,True,False,-4800.593900442103
608,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,cd7b71e3-0098-4021-85b6-e5113cd20907,li_h_0,6d355019-13aa-41fc-a530-31d5f968ba22,92917287-d937-410c-bb70-c1f34224fab7,9c6f0876-5690-4391-a98c-0347d111257e,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_h_cc-pVDZ.9c6f0876-5690-4391-a98c-0347d111257e.gz,19,86400,0.00159362,-8.014358466118416,,True,True,False,0.13443946838378906,False,,,,,,,,,,,,,,,,,,,,True,False,-7.9380269628302935
617,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,cd7b71e3-0098-4021-85b6-e5113cd20907,li_h_0,6d355019-13aa-41fc-a530-31d5f968ba22,13b4bdcc-1cef-419a-92b1-156febff71d4,c21d87dd-9338-4498-8ed6-95b0dacd75b1,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_h_cc-pVQZ.c21d87dd-9338-4498-8ed6-95b0dacd75b1.gz,85,86400,0.00159362,-8.023909093090127,,True,True,False,0.17450451850891113,False,,,,,,,,,,,,,,,,,,,,True,False,-7.961343423399129
626,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,cd7b71e3-0098-4021-85b6-e5113cd20907,li_h_0,6d355019-13aa-41fc-a530-31d5f968ba22,d15db194-aa2d-4de9-8f86-fcffeb82f38b,02d12f52-ff42-4adf-99b9-acada93cb96b,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li_h_cc-pVTZ.02d12f52-ff42-4adf-99b9-acada93cb96b.gz,44,86400,0.00159362,-8.022302449356395,,True,True,False,0.2023448944091797,False,,,,,,,,,,,,,,,,,,,,True,False,-7.955699534920576
635,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,848a83f8-f1f0-45fd-aaaa-efa4add9fcc9,li2_0,3301a356-21a9-472b-8021-f02f4d2c9eec,e7d3b8bd-ff6c-44f6-8a9e-b9b75396cee0,243670ee-2d2e-4d90-abc1-16938a04a80b,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li2_cc-pVDZ.243670ee-2d2e-4d90-abc1-16938a04a80b.gz,28,86400,0.00159362,-14.90054725426568,,True,True,False,0.14048171043395996,False,,,,,,,,,,,,,,,,,,,,True,False,-14.851599823586488
644,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,848a83f8-f1f0-45fd-aaaa-efa4add9fcc9,li2_0,3301a356-21a9-472b-8021-f02f4d2c9eec,aaa24a30-ade6-44a6-b6aa-51bf54c31eef,6224abe8-831e-4b52-b8d9-8ebac0a35c2b,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li2_cc-pVQZ.6224abe8-831e-4b52-b8d9-8ebac0a35c2b.gz,110,86400,0.00159362,-14.903673820903151,,True,True,False,0.514655351638794,False,,,,,,,,,,,,,,,,,,,,True,False,-14.88348510184066
653,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,848a83f8-f1f0-45fd-aaaa-efa4add9fcc9,li2_0,3301a356-21a9-472b-8021-f02f4d2c9eec,410cd417-988a-4f7f-99ad-93dda7eacdcb,26d2547c-96a4-400d-9528-9987ae6699b2,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.li2_cc-pVTZ.26d2547c-96a4-400d-9528-9987ae6699b2.gz,60,86400,0.00159362,-14.903161904021912,,True,True,False,0.5609631538391113,False,,,,,,,,,,,,,,,,,,,,True,False,-14.875983893969932
662,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,f013f4a3-5a34-4f3e-a2da-1a5823dad4b3,h_f_0,892e3341-7186-44c6-9a1a-20f270ddc8b8,b59bd259-4941-4cec-bca5-e2795c35d8e0,b93a2eeb-79c3-4f98-8919-f5e0aaedcea7,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h_f_cc-pVDZ.b93a2eeb-79c3-4f98-8919-f5e0aaedcea7.gz,19,86400,0.00159362,-100.2286401848582,,True,True,False,0.13483071327209473,False,,,,,,,,,,,,,,,,,,,,True,False,-100.0546379409091
671,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,f013f4a3-5a34-4f3e-a2da-1a5823dad4b3,h_f_0,892e3341-7186-44c6-9a1a-20f270ddc8b8,9e3c577f-a25d-42f5-a809-61dfb63a52de,ff2ff7dd-2eb8-4565-a59e-76a47db07fbc,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h_f_cc-pVQZ.ff2ff7dd-2eb8-4565-a59e-76a47db07fbc.gz,85,86400,0.00159362,-100.37341675527789,,True,True,False,0.20215702056884766,False,,,,,,,,,,,,,,,,,,,,True,False,-100.22638792448105
680,MP2,b420358b-5def-41e6-8c5d-b9d93b6aecd2,f013f4a3-5a34-4f3e-a2da-1a5823dad4b3,h_f_0,892e3341-7186-44c6-9a1a-20f270ddc8b8,daa86ad6-bda9-4d47-a50d-4ec34801bd82,819ffa8e-51ee-4e78-aa07-17686d7a9488,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h_f_cc-pVTZ.819ffa8e-51ee-4e78-aa07-17686d7a9488.gz,44,86400,0.00159362,-100.33860747196128,,True,True,False,0.1573019027709961,False,,,,,,,,,,,,,,,,,,,,True,False,-100.17075997731922
