,solver_short_name,solver_uuid,solution_uuid,problem_instance_short_name,problem_instance_uuid,task_uuid,instance_data_object_uuid,instance_data_object_url,num_orbitals,time_limit_seconds,accuracy_tol,reference_energy,calendar_due_date,attempted,solved_within_run_time,solved_within_accuracy_requirement,overall_run_time_seconds,is_resource_estimate,num_logical_qubits,num_shots,num_T_gates_per_shot,re_circuit_repetitions_per_calculation,re_calculation_repetitions,re_total_circuit_repetitions,re_logical_abstract_num_qubits,re_logical_abstract_t_count,re_logical_architecture_description,re_logical_compiled_num_qubits,re_logical_compiled_t_count,re_logical_compiled_num_t_factories,re_physical_architecture_description,re_physical_code_name,re_physical_code_distance,re_physical_runtime,re_physical_num_qubits,re_physical_t_count,re_physical_num_t_factories,submitted_by_calendar_due_date,label,reported_energy
360,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,12abdbe3-d2d9-4705-b72d-4f2ff3624b7f,FeO_0,55d0ed82-0560-4448-8459-c2ba00654d9d,b8344eb5-f574-4198-b917-8312240ba288,3f1777dc-c493-4aa7-b3d1-6271d9bed459,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.FeO_vdz.3f1777dc-c493-4aa7-b3d1-6271d9bed459.gz,76,86400,1.0,-139.43599,,True,True,True,12068.149000000001,False,,,,,,,,,,,,,,,,,,,,True,True,-139.43589643596565
369,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,b05b12db-a0f3-4ce4-b617-fe0ccc1928a6,p_h3_0,0c2e43eb-58f3-41ca-a21f-ae46fc2a0e57,af399f2b-a4f8-4fec-aca2-7c126ed989a5,7ffaab25-7912-4ca9-b0e5-9fe8fd00a0e1,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.p_h3_cc-pVDZ.7ffaab25-7912-4ca9-b0e5-9fe8fd00a0e1.gz,33,86400,1.0,-342.6380538513027,,True,True,True,447.332,False,,,,,,,,,,,,,,,,,,,,True,True,-342.3333476244272
378,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,b05b12db-a0f3-4ce4-b617-fe0ccc1928a6,p_h3_0,0c2e43eb-58f3-41ca-a21f-ae46fc2a0e57,819ff18a-5aad-46df-83ef-bd209e44936b,2b73f8d0-08fe-4cca-9e8a-cda5d21f4761,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.p_h3_cc-pVTZ.2b73f8d0-08fe-4cca-9e8a-cda5d21f4761.gz,76,86400,1.0,-342.69352665378364,,True,True,True,3826.349,False,,,,,,,,,,,,,,,,,,,,True,True,-342.40637222017233
387,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,81af931e-73bc-49c5-9545-39b1c33dfcb8,h2_s_0,208f2e50-2b56-4e72-815a-cba5cec1264c,f2f09d9f-8328-4d4a-ba91-089f9e56bf0d,11a0ff0b-3c6f-416f-be8a-a02acd56aeb9,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h2_s_cc-pVDZ.11a0ff0b-3c6f-416f-be8a-a02acd56aeb9.gz,28,86400,1.0,-398.86551956628944,,True,True,True,75.551,False,,,,,,,,,,,,,,,,,,,,True,True,-398.6372420868185
396,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,81af931e-73bc-49c5-9545-39b1c33dfcb8,h2_s_0,208f2e50-2b56-4e72-815a-cba5cec1264c,3d5186f9-82b3-4de0-9bc1-242d7bdb678a,57afbbf8-5819-4ee7-b540-95974b8a1a3f,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h2_s_cc-pVQZ.57afbbf8-5819-4ee7-b540-95974b8a1a3f.gz,119,86400,1.0,-398.9566398132811,,True,True,True,8186.0869999999995,False,,,,,,,,,,,,,,,,,,,,True,True,-398.76565275093384
405,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,81af931e-73bc-49c5-9545-39b1c33dfcb8,h2_s_0,208f2e50-2b56-4e72-815a-cba5cec1264c,ec0baf59-05f5-49df-b5e5-8f887d822a10,83f0f242-e184-4581-a77a-f019731d8a6f,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.h2_s_cc-pVTZ.83f0f242-e184-4581-a77a-f019731d8a6f.gz,62,86400,1.0,-398.9364091574969,,True,True,True,3431.666,False,,,,,,,,,,,,,,,,,,,,True,True,-398.72373886617106
414,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,63a24cc6-293a-4ca2-8945-19ffab644cd7,Sc_0,67f72316-2262-44fb-8c0a-e159e1cd0cf0,fb87d637-aaab-4e8f-8898-4ecca8bd0fe0,9da0b1fb-c6a5-4da5-b390-3920e3c26154,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Sc0_vdz.9da0b1fb-c6a5-4da5-b390-3920e3c26154.gz,54,86400,1.0,-46.39685,,True,True,True,687.609,False,,,,,,,,,,,,,,,,,,,,True,True,-46.39682893630179
423,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,63a24cc6-293a-4ca2-8945-19ffab644cd7,Sc_0,67f72316-2262-44fb-8c0a-e159e1cd0cf0,96c6a0d7-8a1e-4189-a934-833b80ade346,85c6b46a-59fe-4506-89d3-e6faec2383e2,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Sc0_vqz.85c6b46a-59fe-4506-89d3-e6faec2383e2.gz,135,86400,1.0,-46.474,,True,True,True,8732.847,False,,,,,,,,,,,,,,,,,,,,True,True,-46.473910620224345
432,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,63a24cc6-293a-4ca2-8945-19ffab644cd7,Sc_0,67f72316-2262-44fb-8c0a-e159e1cd0cf0,dc1da839-0ccc-434c-bf9c-a3874ffc3b1c,83008296-5ec9-4af7-a03b-372025fad080,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.Sc0_vtz.83008296-5ec9-4af7-a03b-372025fad080.gz,88,86400,1.0,-46.4523,,True,True,True,4665.61,False,,,,,,,,,,,,,,,,,,,,True,True,-46.45226259578061
441,SHCI_opt,2dde727e-a881-44fa-aabf-bba6248e4baf,d1f79a1a-d4df-45fc-9068-f29ddc09a2aa,na_cl_0,3f141f05-532b-478d-b38a-2ae07baadc88,da831b60-89ce-4c01-96f9-c9f8a4512aab,cd31956d-bef5-4112-9959-510170644e72,sftp://sftp.l3harris.com/gsee/small_molecules/fcidump.na_cl_cc-pVDZ.cd31956d-bef5-4112-9959-510170644e72.gz,36,86400,1.0,-621.589074729701,,True,True,True,84.099,False,,,,,,,,,,,,,,,,,,,,True,True,-621.5020803666708
